symbol,band,minutes,n,mean,median,positive_rate,q05,model
BTCUSDT,1-2,5,8672,3.887103818253557e-05,1.0651248552151492e-05,0.503690036900369,-0.003033658321561,B0
BTCUSDT,1-2,15,8672,7.022013168249904e-05,2.170154163261273e-05,0.5035747232472325,-0.0042512625550102,B0
BTCUSDT,1-2,30,8672,4.611527296529715e-05,-1.9165681410193706e-05,0.4966559040590406,-0.0057141864404737,B0
BTCUSDT,1-2,60,8669,0.0001116251740595,-8.602076541186499e-06,0.4985580805167839,-0.0077766118668549,B0
BTCUSDT,1-2,120,8669,0.0002826967664853,9.263751568155952e-05,0.5091706079132541,-0.0099988321181614,B0
BTCUSDT,1-2,240,8669,6.079339085877381e-05,-0.0001856903408157,0.488060906678971,-0.0137052184033659,B0
BTCUSDT,1-2,1440,8607,0.0007578820824882,0.000167128289461,0.5040083652840711,-0.0340943198147547,B0
BTCUSDT,2-3,5,2137,-5.8805041531792765e-05,-3.907766294730664e-05,0.4885353299017314,-0.0039855944103649,B0
BTCUSDT,2-3,15,2137,-0.000143664017904,-0.0001323109306871,0.4763687412260178,-0.0054109361348315,B0
BTCUSDT,2-3,30,2137,-0.0001239389890381,-0.0001408626129866,0.4787084698175011,-0.0068712246181444,B0
BTCUSDT,2-3,60,2137,6.9908805194413935e-06,-0.0002160861615136,0.4763687412260178,-0.009275556037353,B0
BTCUSDT,2-3,120,2137,-5.128306373743053e-05,-0.0003778116052733,0.4707533926064576,-0.0124308439834065,B0
BTCUSDT,2-3,240,2137,-0.0002118601452475,-0.0007530501598889,0.4590547496490407,-0.0157896570782207,B0
BTCUSDT,2-3,1440,2135,-0.0009871561129803,-0.0013377841602552,0.4697892271662763,-0.0400052114572138,B0
BTCUSDT,3-4,5,685,-3.764208046069441e-06,-1.88484195600136e-05,0.4978102189781022,-0.0044879038440643,B0
BTCUSDT,3-4,15,685,6.421352742639386e-05,-3.772072518093417e-05,0.4890510948905109,-0.0057161123984657,B0
BTCUSDT,3-4,30,685,9.922685936962592e-05,-0.0002371076561138,0.4700729927007299,-0.0075370112110514,B0
BTCUSDT,3-4,60,685,0.000289633011193,-0.0003365097620062,0.4744525547445255,-0.0089243114256623,B0
BTCUSDT,3-4,120,685,0.0002153159853787,-0.0003001342705948,0.4773722627737226,-0.0143209193978939,B0
BTCUSDT,3-4,240,685,0.0010077926641848,-0.0001150434780168,0.4934306569343065,-0.0158615006579501,B0
BTCUSDT,3-4,1440,685,0.0008512320646002,-0.0003552829641817,0.4934306569343065,-0.0331784951288017,B0
BTCUSDT,4+,5,325,0.0003738287753042,0.000285219517164,0.5384615384615384,-0.0055600463026853,B0
BTCUSDT,4+,15,325,0.0009385268568951,0.0005038508601453,0.556923076923077,-0.0073991413695706,B0
BTCUSDT,4+,30,325,0.0017445672790162,0.0011754748262933,0.5846153846153846,-0.0088730739836921,B0
BTCUSDT,4+,60,325,0.0024155521434419,0.0014998125234346,0.5661538461538461,-0.0111291127582051,B0
BTCUSDT,4+,120,325,0.0036788384050486,0.0014539696249911,0.6061538461538462,-0.0103689602116118,B0
BTCUSDT,4+,240,325,0.0038422786877317,0.0019894405529148,0.5876923076923077,-0.0107901044996564,B0
BTCUSDT,4+,1440,325,0.0097395113129072,0.0031739669788888,0.5661538461538461,-0.0260977371295501,B0
ETHUSDT,1-2,5,7793,8.983339302604868e-06,-4.407789053006983e-05,0.4894135762864108,-0.0038936017954851,B0
ETHUSDT,1-2,15,7793,1.3357462599254634e-05,4.771652566404328e-06,0.5003208007185936,-0.00561777910881,B0
ETHUSDT,1-2,30,7793,6.689928142287312e-07,-7.312537868497948e-05,0.4906967791607853,-0.0074561953011439,B0
ETHUSDT,1-2,60,7793,8.145113231930486e-05,-3.5654618801173044e-05,0.4963428718080328,-0.0099713048029225,B0
