strategy,horizon_min,fee_bp,trades,allocation_per_pair,mean_price_bp,mean_funding_bp,mean_gross_bp,return,may_jun_return,jul_aug_return,max_drawdown,win_rate,break_even_one_way_bp
sign_reversal,15.0,0.0,17662,1.0,0.31858000942227876,0.0,0.31858000942227876,0.6853725158714064,0.14525356209457407,-0.017346300323707764,-0.1961193780636965,0.5270637526893897,0.15929000471113938
cross_sectional_q5,15.0,0.0,17661,1.0,0.4237610179104938,0.0,0.4237610179104938,1.0951052563322348,0.37111067567692957,0.1721999671327754,-0.07194624811774752,0.537115678613895,0.2118805089552469
sign_reversal,15.0,0.5,17662,1.0,0.31858000942227876,0.0,0.31858000942227876,-0.7118440842979941,-0.36236644037955656,-0.4581309928160495,-0.7369468438093176,0.4812025818140641,0.15929000471113938
cross_sectional_q5,15.0,0.5,17661,1.0,0.4237610179104938,0.0,0.4237610179104938,-0.6417454205890499,-0.23660298013389203,-0.3535967985260219,-0.6433518299812359,0.47805900005662194,0.2118805089552469
sign_reversal,15.0,1.0,17662,1.0,0.31858000942227876,0.0,0.31858000942227876,-0.9507413556170652,-0.6450107142895039,-0.701212602701978,-0.9516463754262708,0.4403238591326011,0.15929000471113938
cross_sectional_q5,15.0,1.0,17661,1.0,0.4237610179104938,0.0,0.4237610179104938,-0.9387507260769236,-0.5749862569657345,-0.6435657413584992,-0.9387952352545879,0.42092746730083236,0.2118805089552469
sign_reversal,15.0,2.0,17662,1.0,0.31858000942227876,0.0,0.31858000942227876,-0.9985613270561642,-0.8899912897330522,-0.9091718188768064,-0.9985764204126761,0.3616238251613634,0.15929000471113938
cross_sectional_q5,15.0,2.0,17661,1.0,0.4237610179104938,0.0,0.4237610179104938,-0.9982106753602777,-0.8682860799668111,-0.8916438061794806,-0.9982112604786362,0.31527093596059114,0.2118805089552469
sign_reversal,15.0,3.0,17662,1.0,0.31858000942227876,0.0,0.31858000942227876,-0.9999580110856313,-0.9659170565780978,-0.9723957800906071,-0.9999581179323745,0.2941909183557921,0.15929000471113938
cross_sectional_q5,15.0,3.0,17661,1.0,0.4237610179104938,0.0,0.4237610179104938,-0.9999477639514864,-0.9591907533850798,-0.9670675099758413,-0.9999477601425056,0.2332257516561916,0.2118805089552469
sign_reversal,15.0,5.0,17662,1.0,0.31858000942227876,0.0,0.31858000942227876,-0.9999999643090473,-0.9967307242714664,-0.9974521456789446,-0.999999964262875,0.2100554863548862,0.15929000471113938
cross_sectional_q5,15.0,5.0,17661,1.0,0.4237610179104938,0.0,0.4237610179104938,-0.9999999555766708,-0.9960852248892851,-0.9969601256303967,-0.9999999555553979,0.11647132098975142,0.2118805089552469
sign_reversal,30.0,0.0,8831,1.0,1.0110147397495073,0.0,1.0110147397495073,1.3467889693711768,0.20585529398969715,0.20460769918164856,-0.11768474424910913,0.5257615219114483,0.5055073698747536
cross_sectional_q5,30.0,0.0,8830,1.0,0.7479796553998088,0.0,0.7479796553998088,0.9193716066374606,0.23172180053819913,0.09873237182134265,-0.07648128843073743,0.5405436013590034,0.3739898276999044
sign_reversal,30.0,0.5,8831,1.0,1.0110147397495073,0.0,1.0110147397495073,-0.029568844422384832,-0.10022315745064037,-0.10545792792681674,-0.3422572108553844,0.496093307666176,0.5055073698747536
cross_sectional_q5,30.0,0.5,8830,1.0,0.7479796553998088,0.0,0.7479796553998088,-0.20624620608240185,-0.08091915199753963,-0.18408783639217285,-0.33261009897578775,0.5004530011325028,0.3739898276999044
sign_reversal,30.0,1.0,8831,1.0,1.0110147397495073,0.0,1.0110147397495073,-0.5987481290996981,-0.3286303394147194,-0.3357325348512783,-0.6776798062645831,0.46846336768202923,0.5055073698747536
