target,side,signal_time,entry_time,exit_time,entry_price,exit_price,notional,gross_price_pnl,fee,net_pnl,funding_cashflow,net_pnl_including_funding,reason,entry_z,entry_pct
AAVEUSDT,-1,2026-04-27 03:34:00+00:00,2026-04-27 03:35:00+00:00,2026-04-27 03:40:00+00:00,99.98,99.7,30000.0,84.01680336067363,0.0,84.01680336067363,0.0,84.01680336067363,repair50,2.3051359084110485,0.022648471921235647
ETHUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 05:25:00+00:00,2344.1,2334.56,30025.2050410082,-122.19634661115708,0.0,-122.19634661115708,0.0,-122.19634661115708,repair50,-3.392746077084599,0.018909793442424605
DOGEUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 05:25:00+00:00,0.09871,0.09864,30025.2050410082,-21.29231438426192,0.0,-21.29231438426192,0.0,-21.29231438426192,repair50,-3.0337333510529727,0.015041029663693029
FILUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 05:25:00+00:00,0.934,0.934,30025.2050410082,0.0,0.0,0.0,0.0,0.0,repair50,-2.6998594966150615,0.018371518729355385
UNIUSDT,1,2026-04-27 05:24:00+00:00,2026-04-27 05:25:00+00:00,2026-04-27 05:30:00+00:00,3.272,3.258,29982.158442709573,-128.28551900914704,0.0,-128.28551900914704,0.0,-128.28551900914704,repair50,-2.8609375733714666,0.01900478853698484
SUIUSDT,1,2026-04-27 05:24:00+00:00,2026-04-27 05:25:00+00:00,2026-04-27 05:30:00+00:00,0.9383,0.935,29982.158442709573,-105.44721609393534,0.0,-105.44721609393534,0.0,-105.44721609393534,repair50,-2.836845773805707,0.018436696744030256
SOLUSDT,1,2026-04-27 05:24:00+00:00,2026-04-27 05:25:00+00:00,2026-04-27 05:30:00+00:00,86.27,86.08,29982.158442709573,-66.0323415337289,0.0,-66.0323415337289,0.0,-66.0323415337289,repair50,-2.7285661427345276,0.015350744424748153
LTCUSDT,1,2026-04-27 05:29:00+00:00,2026-04-27 05:30:00+00:00,2026-04-27 05:35:00+00:00,55.55,55.56,29892.228919718527,5.381139319486115,0.0,5.381139319486115,0.0,5.381139319486115,repair50,-4.697390719643694,0.016847457682768185
BTCUSDT,1,2026-04-27 05:29:00+00:00,2026-04-27 05:30:00+00:00,2026-04-27 05:35:00+00:00,77780.0,77815.5,29892.228919718527,13.643277534710851,0.0,13.643277534710851,0.0,13.643277534710851,repair50,-3.7143944379060647,0.015118408013337081
ADAUSDT,1,2026-04-27 05:29:00+00:00,2026-04-27 05:30:00+00:00,2026-04-27 05:35:00+00:00,0.2486,0.2485,29892.228919718527,-12.02422724043386,0.0,-12.02422724043386,0.0,-12.02422724043386,repair50,-3.410913145983293,0.020895070848570785
