target,side,signal_time,entry_time,exit_time,entry_price,exit_price,notional,gross_price_pnl,fee,net_pnl,funding_cashflow,net_pnl_including_funding,reason,entry_z,entry_pct
AAVEUSDT,-1,2026-04-27 03:34:00+00:00,2026-04-27 03:35:00+00:00,2026-04-27 05:00:00+00:00,99.98,98.66,30000.0,396.0792158431714,0.0,396.0792158431714,0.0,396.0792158431714,repair50,2.3051311790259046,0.022648472664648978
ETHUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 09:25:00+00:00,2344.1,2314.63,30118.82376475295,-378.65352858123197,0.0,-378.65352858123197,2.3388521722101343,-376.31467640902184,timeout,-3.3927513609372006,0.01890984457922884
DOGEUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 09:25:00+00:00,0.09871,0.09795,30118.82376475295,-231.8944996577114,0.0,-231.8944996577114,0.75892912719312,-231.1355705305183,timeout,-3.0337373677604216,0.015041059093151121
FILUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 09:25:00+00:00,0.934,0.923,30118.82376475295,-354.7184811694666,0.0,-354.7184811694666,1.683967944509673,-353.0345132249569,timeout,-2.6998679535832126,0.018371566710423393
AAVEUSDT,-1,2026-04-27 14:34:00+00:00,2026-04-27 14:35:00+00:00,2026-04-27 15:15:00+00:00,98.46,97.13,29830.678336703604,402.95350586853357,0.0,402.95350586853357,0.0,402.95350586853357,repair50,2.323512998245041,0.022968846923748565
ETHUSDT,1,2026-04-27 15:24:00+00:00,2026-04-27 15:25:00+00:00,2026-04-27 17:35:00+00:00,2267.57,2289.76,29951.56438846416,293.10019703031156,0.0,293.10019703031156,2.280660255132007,295.3808572854436,repair50,-3.3793049846880603,0.01914680557848225
XRPUSDT,1,2026-04-27 15:24:00+00:00,2026-04-27 15:25:00+00:00,2026-04-27 18:25:00+00:00,1.3844,1.395,29951.56438846416,229.33153894663448,0.0,229.33153894663448,1.7579224067998864,231.08946135343436,repair50,-3.336678610675124,0.015027228793278447
FILUSDT,1,2026-04-27 15:24:00+00:00,2026-04-27 15:25:00+00:00,2026-04-27 18:50:00+00:00,0.899,0.91,29951.56438846416,366.4818779456121,0.0,366.4818779456121,0.8168944321709375,367.29877237778305,repair50,-3.652190474186065,0.024750233149071654
FILUSDT,-1,2026-04-29 03:54:00+00:00,2026-04-29 03:55:00+00:00,2026-04-29 08:00:00+00:00,0.936,0.939,30219.69511576916,-96.85799716592645,0.0,-96.85799716592645,0.0,-96.85799716592645,timeout,2.237740884750071,0.015284013516510653
DOGEUSDT,-1,2026-04-29 04:44:00+00:00,2026-04-29 04:45:00+00:00,2026-04-29 08:20:00+00:00,0.10226,0.10579,30161.580317469605,-1041.1732693200406,0.0,-1041.1732693200406,3.094614714364279,-1038.0786546056763,stop,3.510225494658101,0.017619038717353597
