target,side,signal_time,entry_time,exit_time,entry_price,exit_price,notional,gross_price_pnl,fee,net_pnl,funding_cashflow,net_pnl_including_funding,reason,entry_z,entry_pct
AAVEUSDT,-1,2026-04-27 03:34:00+00:00,2026-04-27 03:35:00+00:00,2026-04-27 05:00:00+00:00,99.98,98.66,30000.0,396.0792158431714,29.801960392078414,366.277255451093,0.0,366.277255451093,repair50,2.3051311790259046,0.022648472664648978
ETHUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 09:25:00+00:00,2344.1,2314.63,30109.883176635325,-378.54112760353206,29.92061261283356,-408.4617402163656,0.0,-408.4617402163656,timeout,-3.3927513609372006,0.01890984457922884
DOGEUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 09:25:00+00:00,0.09871,0.09795,30109.883176635325,-231.8256631976831,29.993970345036487,-261.8196335427196,0.0,-261.8196335427196,timeout,-3.0337373677604216,0.015041059093151121
FILUSDT,1,2026-04-27 05:19:00+00:00,2026-04-27 05:20:00+00:00,2026-04-27 09:25:00+00:00,0.934,0.923,30109.883176635325,-354.6131851637987,29.93257658405343,-384.5457617478521,0.0,-384.5457617478521,timeout,-2.6998679535832126,0.018371566710423393
AAVEUSDT,-1,2026-04-27 14:34:00+00:00,2026-04-27 14:35:00+00:00,2026-04-27 15:15:00+00:00,98.46,97.13,29793.435035983246,402.45042248484395,29.592209824740827,372.8582126601031,0.0,372.8582126601031,repair50,2.323512998245041,0.022968846923748565
ETHUSDT,1,2026-04-27 15:24:00+00:00,2026-04-27 15:25:00+00:00,2026-04-27 17:35:00+00:00,2267.57,2289.76,29905.29249978128,292.64738930668096,30.051616194434622,262.5957731122464,0.0,262.5957731122464,repair50,-3.3793049846880603,0.01914680557848225
XRPUSDT,1,2026-04-27 15:24:00+00:00,2026-04-27 15:25:00+00:00,2026-04-27 18:25:00+00:00,1.3844,1.395,29905.29249978128,228.9772468200536,30.019781123191308,198.9574656968623,0.0,198.9574656968623,repair50,-3.336678610675124,0.015027228793278447
FILUSDT,1,2026-04-27 15:24:00+00:00,2026-04-27 15:25:00+00:00,2026-04-27 18:50:00+00:00,0.899,0.91,29905.29249978128,365.9157035568338,30.0882503515597,335.82745320527414,0.0,335.82745320527414,repair50,-3.652190474186065,0.024750233149071654
FILUSDT,-1,2026-04-29 03:54:00+00:00,2026-04-29 03:55:00+00:00,2026-04-29 08:00:00+00:00,0.936,0.939,30144.506707385593,-96.61700867751759,30.19281521172435,-126.80982388924194,0.0,-126.80982388924194,timeout,2.237740884750071,0.015284013516510653
DOGEUSDT,-1,2026-04-29 04:44:00+00:00,2026-04-29 04:45:00+00:00,2026-04-29 08:20:00+00:00,0.10226,0.10579,30082.014826172977,-1038.4266803871528,30.601228166366553,-1069.0279085535192,0.0,-1069.0279085535192,stop,3.510225494658101,0.017619038717353597
FILUSDT,-1,2026-04-29 09:54:00+00:00,2026-04-29 09:55:00+00:00,2026-04-29 11:30:00+00:00,0.955,0.984,29785.755387652764,-904.4889070596147,30.23799984118257,-934.7269069007972,0.0,-934.7269069007972,stop,2.337976348198583,0.015988904182274943
LTCUSDT,-1,2026-04-29 09:54:00+00:00,2026-04-29 09:55:00+00:00,2026-04-29 13:35:00+00:00,56.83,56.11,29785.755387652764,377.3666000195295,29.597072087643,347.7695279318865,0.0,347.7695279318865,repair50,4.293750183529099,0.015472764412533424
FILUSDT,1,2026-04-29 13:34:00+00:00,2026-04-29 13:35:00+00:00,2026-04-29 15:15:00+00:00,0.95,0.916,29421.717538233705,-1052.987785578889,28.89522364544426,-1081.8830092243334,0.0,-1081.8830092243334,stop,-2.206683523797035,0.015130671513923555
DOGEUSDT,1,2026-04-29 12:14:00+00:00,2026-04-29 12:15:00+00:00,2026-04-29 15:40:00+00:00,0.10702,0.10334,29548.040277276814,-1016.0417512649865,29.040019401644322,-1045.0817706666307,0.0,-1045.0817706666307,stop,-3.886716683061941,0.020631286058731324
AAVEUSDT,1,2026-04-29 12:14:00+00:00,2026-04-29 12:15:00+00:00,2026-04-29 16:20:00+00:00,95.49,93.83,29548.040277276814,-513.6637015423529,29.29120842650564,-542.9549099688586,0.0,-542.9549099688586,timeout,-2.0431662033023223,0.019662863477130643
DOTUSDT,1,2026-04-29 15:39:00+00:00,2026-04-29 15:40:00+00:00,2026-04-29 18:00:00+00:00,1.206,1.217,28728.57140510432,262.0350625672869,28.859588936387965,233.17547363089892,0.0,233.17547363089892,repair50,-2.260674166330735,0.015380440416532304
LINKUSDT,1,2026-04-29 18:09:00+00:00,2026-04-29 18:10:00+00:00,2026-04-29 19:00:00+00:00,8.926,9.032,28768.241695673718,341.6349562784435,28.939059173812943,312.69589710463055,0.0,312.69589710463055,repair50,-3.577730306613082,0.019972089021513262
LTCUSDT,1,2026-04-29 15:39:00+00:00,2026-04-29 15:40:00+00:00,2026-04-29 19:45:00+00:00,55.24,54.63,28728.57140510432,-317.24164658062386,28.569950581814012,-345.81159716243786,0.0,-345.81159716243786,timeout,-4.999041703961278,0.018270135272503762
DOGEUSDT,1,2026-04-29 18:09:00+00:00,2026-04-29 18:10:00+00:00,2026-04-29 20:50:00+00:00,0.10108,0.10219,28768.241695673718,315.91559440243105,28.926199492874936,286.9893949095561,0.0,286.9893949095561,repair50,-3.8027799463001917,0.021121947966947996
FILUSDT,-1,2026-04-29 20:54:00+00:00,2026-04-29 20:55:00+00:00,2026-04-30 01:00:00+00:00,0.908,0.927,28954.807017548937,-605.8825256976098,29.257748280397742,-635.1402739780076,0.0,-635.1402739780076,timeout,2.0735467966121885,0.015103444683776335
