target,side,signal_time,entry_time,exit_time,entry_price,exit_price,notional,gross_price_pnl,fee,net_pnl,funding_cashflow,net_pnl_including_funding,reason,entry_z,entry_pct
TRXUSDT,1,2026-04-28 00:04:00+00:00,2026-04-28 00:05:00+00:00,2026-04-28 04:10:00+00:00,0.32536,0.32368,30000.0,-154.90533562822483,29.922547332185893,-184.82788296041073,0.0,-184.82788296041073,timeout,-14.740448802887379,0.2878108397596313
ADAUSDT,1,2026-04-28 00:04:00+00:00,2026-04-28 00:05:00+00:00,2026-04-28 04:10:00+00:00,0.2477,0.2471,30000.0,-72.66855066612953,29.963665724666935,-102.63221639079647,0.0,-102.63221639079647,timeout,-9.47964509636444,0.20128790438754796
FILUSDT,1,2026-04-28 00:04:00+00:00,2026-04-28 00:05:00+00:00,2026-04-28 04:10:00+00:00,0.921,0.919,30000.0,-65.14657980456029,29.96742671009772,-95.114006514658,0.0,-95.114006514658,timeout,-9.286663711519369,0.31166547831390345
ADAUSDT,1,2026-04-29 00:04:00+00:00,2026-04-29 00:05:00+00:00,2026-04-29 04:10:00+00:00,0.2466,0.2489,29885.227768240242,278.73488997142067,30.024595213225954,248.7102947581947,0.0,248.7102947581947,timeout,-12.32308373876785,0.24694439403764823
HBARUSDT,1,2026-04-29 00:04:00+00:00,2026-04-29 00:05:00+00:00,2026-04-29 04:10:00+00:00,0.08886,0.08986,29885.227768240242,336.3181157803349,30.053386826130406,306.2647289542045,0.0,306.2647289542045,timeout,-10.743554428978278,0.2397719241373346
XRPUSDT,1,2026-04-29 00:04:00+00:00,2026-04-29 00:05:00+00:00,2026-04-29 04:10:00+00:00,1.3802,1.3877,29885.227768240242,162.39618045340953,29.96642585846695,132.4297545949426,0.0,132.4297545949426,timeout,-8.144388896098775,0.22559752223493945
ADAUSDT,1,2026-04-30 00:04:00+00:00,2026-04-30 00:05:00+00:00,2026-04-30 04:10:00+00:00,0.2449,0.2463,30091.44920173244,172.0213510919783,30.17745987727843,141.84389121469988,0.0,141.84389121469988,timeout,-12.825677928199237,0.2785711668044881
SUIUSDT,1,2026-04-30 00:04:00+00:00,2026-04-30 00:05:00+00:00,2026-04-30 04:10:00+00:00,0.9074,0.9089,30091.44920173244,49.743413932775184,30.116320908698828,19.627093024076352,0.0,19.627093024076352,timeout,-8.105691188844952,0.1893780736402063
BNBUSDT,1,2026-04-30 00:04:00+00:00,2026-04-30 00:05:00+00:00,2026-04-30 04:10:00+00:00,617.64,617.25,30091.44920173244,-19.000817933868966,30.081948792765505,-49.082766726634475,0.0,-49.082766726634475,timeout,-5.9486782166805945,0.1285109147224056
BTCUSDT,1,2026-05-01 00:04:00+00:00,2026-05-01 00:05:00+00:00,2026-05-01 04:10:00+00:00,76442.8,77091.1,30125.16566698609,255.48704262411817,30.252909188298148,225.23413343582,0.0,225.23413343582,timeout,-11.534522914790502,0.13251186017195193
XLMUSDT,-1,2026-05-01 00:04:00+00:00,2026-05-01 00:05:00+00:00,2026-05-01 04:10:00+00:00,0.15876,0.16032,30125.16566698609,-296.01447745337543,30.273172905712777,-326.2876503590882,0.0,-326.2876503590882,timeout,7.838694311166656,0.2236508673227522
UNIUSDT,1,2026-05-01 00:04:00+00:00,2026-05-01 00:05:00+00:00,2026-05-01 04:10:00+00:00,3.195,3.23,30125.16566698609,330.00963954444666,30.290170486758313,299.71946905768834,0.0,299.71946905768834,timeout,-7.680874920337321,0.25036263868691144
SOLUSDT,-1,2026-05-02 00:04:00+00:00,2026-05-02 00:05:00+00:00,2026-05-02 04:10:00+00:00,83.66,83.62,30184.76545262642,14.432113532212012,30.17754939586031,-15.7454358636483,0.0,-15.7454358636483,timeout,13.55401376280009,0.42090703564461274
BCHUSDT,1,2026-05-02 00:04:00+00:00,2026-05-02 00:05:00+00:00,2026-05-02 04:10:00+00:00,450.28,450.06,30184.76545262642,-14.747820022157295,30.17739154261534,-44.92521156477264,0.0,-44.92521156477264,timeout,-8.977876283460638,0.18001029152766956
LTCUSDT,-1,2026-05-02 00:04:00+00:00,2026-05-02 00:05:00+00:00,2026-05-02 04:10:00+00:00,55.39,55.48,30184.76545262642,-49.0454755503922,30.209288190401615,-79.2547637407938,0.0,-79.2547637407938,timeout,7.964849433625255,0.09194902054324561
LTCUSDT,1,2026-05-03 00:04:00+00:00,2026-05-03 00:05:00+00:00,2026-05-03 04:10:00+00:00,55.26,54.86,30142.78782927565,-218.1888369835372,30.033693410783883,-248.22253039432107,0.0,-248.22253039432107,timeout,-8.976170670822224,0.09734897003602383
DOGEUSDT,-1,2026-05-03 00:04:00+00:00,2026-05-03 00:05:00+00:00,2026-05-03 04:10:00+00:00,0.10832,0.10771,30142.78782927565,169.74797429706618,30.057913842127117,139.69006045493904,0.0,139.69006045493904,timeout,4.24770229484351,0.19168890504470393
XLMUSDT,1,2026-05-03 00:04:00+00:00,2026-05-03 00:05:00+00:00,2026-05-03 04:10:00+00:00,0.15977,0.15833,30142.78782927565,-271.67562417323006,30.006950017189034,-301.68257419041913,0.0,-301.68257419041913,timeout,-2.9872758101558996,0.07719229162449792
SUIUSDT,-1,2026-05-04 00:04:00+00:00,2026-05-04 00:05:00+00:00,2026-05-04 04:05:00+00:00,0.9186,0.9471,30019.72331603671,-931.3761316209948,30.48541138184721,-961.861543002842,0.0,-961.861543002842,stop,7.209053298202723,0.1958420700443404
LTCUSDT,1,2026-05-04 00:04:00+00:00,2026-05-04 00:05:00+00:00,2026-05-04 04:10:00+00:00,55.12,56.19,30019.72331603671,582.7486202496244,30.311097626161523,552.4375226234629,0.0,552.4375226234629,timeout,-13.441881460399982,0.14782540471775485
TRXUSDT,1,2026-05-04 00:04:00+00:00,2026-05-04 00:05:00+00:00,2026-05-04 04:10:00+00:00,0.33868,0.33765,30019.72331603671,-91.29654841005265,29.974075041831682,-121.27062345188433,0.0,-121.27062345188433,timeout,-8.653835660759583,0.20593315923547229
AVAXUSDT,1,2026-05-05 00:04:00+00:00,2026-05-05 00:05:00+00:00,2026-05-05 04:10:00+00:00,9.197,9.266,29860.514922887327,224.02691417627892,29.97252837997547,194.05438579630345,0.0,194.05438579630345,timeout,-13.336661757329408,0.3154073849530591
BNBUSDT,-1,2026-05-05 00:04:00+00:00,2026-05-05 00:05:00+00:00,2026-05-05 04:10:00+00:00,624.58,627.37,29860.514922887327,-133.38697466273823,29.927208410218697,-163.31418307295692,0.0,-163.31418307295692,timeout,10.925569368926663,0.29338689705686716
LINKUSDT,-1,2026-05-05 00:04:00+00:00,2026-05-05 00:05:00+00:00,2026-05-05 04:10:00+00:00,9.394,9.505,29860.514922887327,-352.8334209538529,30.036931633364254,-382.87035258721716,0.0,-382.87035258721716,timeout,8.380296663854855,0.2319821539976461
AVAXUSDT,1,2026-05-06 00:04:00+00:00,2026-05-06 00:05:00+00:00,2026-05-06 04:10:00+00:00,9.407,9.572,29754.87587792817,521.9043818282283,30.015828068842286,491.88855375938607,0.0,491.88855375938607,timeout,-10.196237756831676,0.2555172450035116
LTCUSDT,-1,2026-05-06 00:04:00+00:00,2026-05-06 00:05:00+00:00,2026-05-06 04:10:00+00:00,56.45,56.78,29754.87587792817,-173.9434728027684,29.841847614329556,-203.78532041709795,0.0,-203.78532041709795,timeout,10.161944405301881,0.14808806307632838
ADAUSDT,-1,2026-05-06 00:04:00+00:00,2026-05-06 00:05:00+00:00,2026-05-06 04:10:00+00:00,0.2625,0.2639,29754.87587792817,-158.6926713489526,29.834222213602647,-188.52689356255522,0.0,-188.52689356255522,timeout,9.833076919629612,0.2973402186939742
BCHUSDT,-1,2026-05-06 04:54:00+00:00,2026-05-06 04:55:00+00:00,2026-05-06 07:00:00+00:00,485.74,474.24,29784.748779862093,705.1603964433933,29.432168581640397,675.7282278617529,0.0,675.7282278617529,repair50,2.197666182212335,0.05156408211273189
BCHUSDT,1,2026-05-07 00:04:00+00:00,2026-05-07 00:05:00+00:00,2026-05-07 04:10:00+00:00,465.58,460.25,29987.467248220615,-343.29911171660217,29.815817692362316,-373.1149294089645,0.0,-373.1149294089645,timeout,-25.585584263943478,0.4437718556983382
BTCUSDT,-1,2026-05-07 00:04:00+00:00,2026-05-07 00:05:00+00:00,2026-05-07 04:10:00+00:00,81388.8,80725.9,29987.467248220615,244.24358190372143,29.865345457268752,214.37823644645266,0.0,214.37823644645266,timeout,20.788273530468903,0.3149402868889706
HBARUSDT,1,2026-05-07 00:04:00+00:00,2026-05-07 00:05:00+00:00,2026-05-07 04:10:00+00:00,0.09145,0.08976,29987.467248220615,-554.1697063913905,29.71038239502492,-583.8800887864154,0.0,-583.8800887864154,timeout,-15.847664070058244,0.3227845431134535
FILUSDT,-1,2026-05-08 00:04:00+00:00,2026-05-08 00:05:00+00:00,2026-05-08 04:10:00+00:00,1.089,1.102,29764.682213695938,-355.3176021837028,29.94234101478779,-385.25994319849053,0.0,-385.25994319849053,timeout,11.558851465750301,0.5132332448241579
BTCUSDT,-1,2026-05-08 00:04:00+00:00,2026-05-08 00:05:00+00:00,2026-05-08 04:10:00+00:00,79993.6,79605.3,29764.682213695938,144.4818848455152,29.692441271273182,114.78944357424201,0.0,114.78944357424201,timeout,10.300453294771103,0.19180123951413108
AVAXUSDT,1,2026-05-08 00:04:00+00:00,2026-05-08 00:05:00+00:00,2026-05-08 04:10:00+00:00,9.51,9.504,29764.682213695938,-18.778979314635865,29.755292724038622,-48.53427203867449,0.0,-48.53427203867449,timeout,-6.0996208541500385,0.1576879661597077
FILUSDT,-1,2026-05-08 15:49:00+00:00,2026-05-08 15:50:00+00:00,2026-05-08 19:10:00+00:00,1.212,1.182,29668.980782197064,734.3807124306211,29.301790425981753,705.0789220046394,3.047679956587075,708.1266019612265,repair50,2.115194902739599,0.08020000046881459
SUIUSDT,1,2026-05-09 00:04:00+00:00,2026-05-09 00:05:00+00:00,2026-05-09 04:10:00+00:00,1.0189,1.0879,29881.418762785426,2023.5723767123345,30.893204951141595,1992.679171761193,0.0,1992.679171761193,timeout,-16.19859145419498,0.292382191208057
LTCUSDT,-1,2026-05-09 00:04:00+00:00,2026-05-09 00:05:00+00:00,2026-05-09 04:10:00+00:00,58.23,58.78,29881.418762785426,-282.23905752244696,30.02253829154665,-312.2615958139936,0.0,-312.2615958139936,timeout,12.257681149328771,0.20440417809664058
BTCUSDT,-1,2026-05-09 00:04:00+00:00,2026-05-09 00:05:00+00:00,2026-05-09 04:10:00+00:00,80106.5,80550.1,29881.418762785426,-165.47218219709674,29.964154853883976,-195.4363370509807,0.0,-195.4363370509807,timeout,8.32653347999606,0.16253941144599082
SUIUSDT,-1,2026-05-10 00:04:00+00:00,2026-05-10 00:05:00+00:00,2026-05-10 00:25:00+00:00,1.0684,1.1041,30326.91313445429,-1013.3571685698458,30.833591718739214,-1044.1907602885851,0.0,-1044.1907602885851,stop,18.92046387554516,0.586566592360007
FILUSDT,1,2026-05-10 00:04:00+00:00,2026-05-10 00:05:00+00:00,2026-05-10 04:10:00+00:00,1.196,1.196,30326.91313445429,0.0,30.32691313445429,-30.32691313445429,0.0,-30.32691313445429,timeout,-13.675809908830011,0.4088533287641244
ETHUSDT,1,2026-05-10 00:04:00+00:00,2026-05-10 00:05:00+00:00,2026-05-10 04:10:00+00:00,2323.73,2326.54,30326.91313445429,36.67320467860722,30.345249736793594,6.327954941813628,0.0,6.327954941813628,timeout,-12.542382859606626,0.202206539392484
AAVEUSDT,-1,2026-05-10 00:24:00+00:00,2026-05-10 00:25:00+00:00,2026-05-10 04:30:00+00:00,96.29,95.58,30009.988658749542,221.2804231769889,29.899348447161046,191.38107472982787,0.0,191.38107472982787,timeout,8.363481597292306,0.2798620109533201
