model,signal,entry_time,exit_time,gross,turnover,price_pnl,fee,slippage,funding,net_pnl,reason
B1,ADAUSDT,2026-03-02 00:16:00+00:00,2026-03-02 00:56:00+00:00,20000.0,40250.50965456071,-43.39188842239389,20.125254827280354,0.0,,-63.51714324967425,mean
B1,XLMUSDT,2026-03-02 00:26:00+00:00,2026-03-02 01:01:00+00:00,20000.0,40151.08439161256,-14.87995198550243,20.07554219580628,0.0,,-34.95549418130871,mean
B1,BNBUSDT,2026-03-02 00:31:00+00:00,2026-03-02 02:11:00+00:00,20000.0,40034.06311184565,-13.973239988166142,20.017031555922827,0.0,,-33.99027154408897,mean
B1,BCHUSDT,2026-03-02 02:26:00+00:00,2026-03-02 03:11:00+00:00,20000.0,39978.060923257945,-43.53539044276499,19.98903046162897,0.0,,-63.52442090439396,mean
B1,NEARUSDT,2026-03-02 03:26:00+00:00,2026-03-02 04:56:00+00:00,20000.0,39882.94554756583,-66.89203586014116,19.94147277378292,0.0,,-86.83350863392408,mean
B1,NEARUSDT,2026-03-02 05:46:00+00:00,2026-03-02 07:31:00+00:00,20000.0,39593.940034487365,-37.65408543230507,19.796970017243684,0.0,,-57.45105544954875,mean
B1,ADAUSDT,2026-03-02 06:16:00+00:00,2026-03-02 08:36:00+00:00,20000.0,39701.29294295564,-6.309396225646651,19.85064647147782,0.0,,-26.16004269712447,mean
B1,TRXUSDT,2026-03-02 07:11:00+00:00,2026-03-02 08:56:00+00:00,20000.0,40087.29726578057,-54.52789801565382,20.043648632890285,0.0,,-74.5715466485441,mean
B1,LTCUSDT,2026-03-02 08:36:00+00:00,2026-03-02 09:01:00+00:00,20000.0,40140.60928984192,-20.240660915823355,20.07030464492096,0.0,,-40.31096556074432,mean
B1,BCHUSDT,2026-03-02 07:41:00+00:00,2026-03-02 09:21:00+00:00,20000.0,40108.41887476712,-12.17776122146438,20.05420943738356,0.0,,-32.23197065884794,mean
B1,HBARUSDT,2026-03-02 09:36:00+00:00,2026-03-02 10:11:00+00:00,20000.0,39965.78164261641,-28.0619855387306,19.982890821308207,0.0,,-48.0448763600388,mean
B1,LTCUSDT,2026-03-02 11:21:00+00:00,2026-03-02 13:26:00+00:00,20000.0,40068.56565324103,-6.594061152066729,20.034282826620515,0.0,,-26.628343978687244,mean
B1,BCHUSDT,2026-03-02 13:36:00+00:00,2026-03-02 14:06:00+00:00,20000.0,39927.4290004884,-44.40919515427299,19.9637145002442,0.0,,-64.37290965451719,mean
B1,NEARUSDT,2026-03-02 13:11:00+00:00,2026-03-02 15:36:00+00:00,20000.0,40934.58400403985,48.21697876113944,20.467292002019924,0.0,,27.74968675911952,mean
B1,BTCUSDT,2026-03-02 13:46:00+00:00,2026-03-02 16:16:00+00:00,20000.0,41146.44775798031,-44.692115638159294,20.573223878990152,0.0,,-65.26533951714944,mean
B1,TRXUSDT,2026-03-02 15:46:00+00:00,2026-03-02 17:41:00+00:00,20000.0,39845.75183910772,-100.52082711122443,19.92287591955386,0.0,,-120.4437030307783,mean
B1,ADAUSDT,2026-03-02 17:41:00+00:00,2026-03-02 17:56:00+00:00,20000.0,40062.94442744198,-37.05557255801489,20.031472213720992,0.0,,-57.08704477173588,mean
B1,LTCUSDT,2026-03-02 15:01:00+00:00,2026-03-02 18:46:00+00:00,20000.0,40315.10955398565,78.29179265355208,20.15755477699283,0.0,,58.13423787655925,mean
B1,AAVEUSDT,2026-03-02 16:16:00+00:00,2026-03-02 19:56:00+00:00,20000.0,39696.9136011954,-3.280283818658063,19.848456800597702,0.0,,-23.128740619255765,mean
B1,HBARUSDT,2026-03-02 18:11:00+00:00,2026-03-02 20:31:00+00:00,20000.0,39954.182440178105,-19.760233704443863,19.97709122008905,0.0,,-39.73732492453291,mean
B1,BTCUSDT,2026-03-02 20:56:00+00:00,2026-03-02 22:06:00+00:00,20000.0,40052.8481908572,-20.59063870580053,20.0264240954286,0.0,,-40.617062801229125,mean
B1,BNBUSDT,2026-03-02 20:01:00+00:00,2026-03-02 22:41:00+00:00,20000.0,40111.531270435786,-16.115594198809504,20.05576563521789,0.0,,-36.1713598340274,mean
B1,NEARUSDT,2026-03-02 21:16:00+00:00,2026-03-02 23:11:00+00:00,20000.0,40111.30224659103,36.40824085358156,20.055651123295515,0.0,,16.352589730286045,mean
B1,HBARUSDT,2026-03-02 22:06:00+00:00,2026-03-02 23:46:00+00:00,20000.0,39828.52049262063,-35.65951954235925,19.914260246310317,0.0,,-55.57377978866956,mean
B1,BNBUSDT,2026-03-02 23:31:00+00:00,2026-03-03 01:31:00+00:00,20000.0,39979.12155979464,-13.921070720430066,19.98956077989732,0.0,,-33.91063150032738,mean
B1,HBARUSDT,2026-03-03 01:36:00+00:00,2026-03-03 02:26:00+00:00,20000.0,39903.13164878002,-33.11513785237628,19.951565824390013,0.0,,-53.066703676766295,mean
B1,XLMUSDT,2026-03-02 22:41:00+00:00,2026-03-03 02:41:00+00:00,20000.0,39564.06119425272,100.9910243945821,19.78203059712636,0.0,,81.20899379745575,timeout
B1,ADAUSDT,2026-03-02 23:46:00+00:00,2026-03-03 03:46:00+00:00,20000.0,39922.7305391361,60.41169855638623,19.96136526956805,0.0,,40.45033328681818,timeout
B1,XLMUSDT,2026-03-03 02:51:00+00:00,2026-03-03 05:06:00+00:00,20000.0,39879.566918643344,-11.751661951132633,19.939783459321674,0.0,,-31.691445410454307,mean
B1,FILUSDT,2026-03-03 02:36:00+00:00,2026-03-03 05:11:00+00:00,20000.0,39972.110519317226,7.748493774422741,19.986055259658613,0.0,,-12.237561485235872,mean
B1,NEARUSDT,2026-03-03 03:56:00+00:00,2026-03-03 05:46:00+00:00,20000.0,39869.38750719676,-39.600273154199726,19.93469375359838,0.0,,-59.53496690779811,mean
B1,BCHUSDT,2026-03-03 07:41:00+00:00,2026-03-03 08:06:00+00:00,20000.0,39927.88671300052,-89.53091664534281,19.96394335650026,0.0,,-109.49486000184308,mean
