model,band,horizon_min,n,combo_mean,combo_median,combo_positive_rate,target_mean,target_positive_rate
PCA3,1.5-2,15,1022,-2.6615520580968556e-05,-4.564687749671821e-06,0.49706457925636005,-0.00013411987428817743,0.47847358121330724
PCA3,1.5-2,60,1022,8.884442735514051e-05,0.0003185807489520153,0.5518590998043053,0.00025728942444664977,0.5450097847358122
PCA3,1.5-2,240,1022,0.00027968226923164404,0.0007146504445511422,0.5714285714285714,0.002011058636891676,0.6037181996086106
PCA3,1.5-2,1440,1019,-2.939255183167513e-05,0.0013898508568456315,0.5868498527968596,0.002145214608263293,0.5377821393523062
PCA3,2-3,15,542,-0.00010064076856120938,0.00012782965795324474,0.5350553505535055,-1.9434644225465624e-05,0.5055350553505535
PCA3,2-3,60,542,4.506122156225439e-06,0.000470096074893215,0.5571955719557196,0.0001019452725688297,0.5498154981549815
PCA3,2-3,240,542,0.00020666305708313257,0.000919435022547183,0.566420664206642,0.0012179663782729269,0.566420664206642
PCA3,2-3,1440,542,0.0005925478079791209,0.0027796552831568654,0.6199261992619927,0.0006309759234827955,0.540590405904059
PCA3,3-4,15,107,-0.00033475233623556506,0.00038805576802445935,0.5700934579439252,0.00023566475843072487,0.6074766355140186
PCA3,3-4,60,107,0.00027701030906614595,0.0010853404078705934,0.5981308411214953,0.002868709550430162,0.6261682242990654
PCA3,3-4,240,107,0.0013274114814743527,0.0011162681707382349,0.5607476635514018,0.00417434225764934,0.6635514018691588
PCA3,3-4,1440,107,-0.00039466646443735365,0.003243976927696718,0.6448598130841121,-0.005310874283274454,0.5981308411214953
PCA3,4+,15,97,-0.000734370146618737,-0.0005557846911235908,0.4329896907216495,-0.0020709439069322676,0.4639175257731959
PCA3,4+,60,97,-0.0018023334151746578,0.0003417075903594112,0.5154639175257731,-0.004529133295344198,0.4948453608247423
PCA3,4+,240,97,0.0006200550798455442,0.00045030827904926315,0.5257731958762887,-0.0014942773742063424,0.4536082474226804
PCA3,4+,1440,97,-0.00963103714792444,-0.0012261467757505315,0.4020618556701031,-0.02589363598084396,0.5463917525773195
PEER,1.5-2,15,1312,-8.020946871852888e-05,-2.880987350327751e-08,0.5,-4.6192581936069686e-05,0.48551829268292684
PEER,1.5-2,60,1311,-0.0001052142816869206,0.0003049667115208286,0.5446224256292906,3.676308552385444e-05,0.5011441647597255
PEER,1.5-2,240,1311,0.00033604777074102034,0.0010628825897412405,0.5911517925247902,0.0008580679367615026,0.5583524027459954
PEER,1.5-2,1440,1311,0.0005953109138981282,0.0021448185966505178,0.6155606407322655,0.002439857368896584,0.551487414187643
PEER,2-3,15,628,0.00010544570862493604,0.0002498930800820732,0.552547770700637,0.0002256166397827066,0.5222929936305732
PEER,2-3,60,626,0.0003281498629939459,0.0005238573372786811,0.5654952076677316,0.0006364739728020326,0.5575079872204473
PEER,2-3,240,626,0.0006960558531403932,0.001398283646445711,0.6118210862619808,0.0006925182154535715,0.5431309904153354
PEER,2-3,1440,626,-0.0020463502664503463,0.0028207130302937942,0.5894568690095847,-0.004148162667765059,0.5239616613418531
PEER,3-4,15,164,-0.00026026388320231,-2.56898951334304e-05,0.4878048780487805,-0.0002539133261269689,0.5182926829268293
PEER,3-4,60,164,0.0007896927307611038,0.0014196349634089784,0.6280487804878049,0.0025096487700675047,0.6097560975609756
PEER,3-4,240,164,0.0011371101305771543,0.001807792760440692,0.5975609756097561,0.002170430257199566,0.5853658536585366
PEER,3-4,1440,164,-0.0036075612533401796,-0.00022711815284556314,0.47560975609756095,-0.007436440537589517,0.5487804878048781
PEER,4+,15,75,-0.0005016593817759253,0.00015797503171500893,0.52,-0.0017607230519492794,0.49333333333333335
PEER,4+,60,75,-0.0023774098894235127,-0.0009727327436945524,0.41333333333333333,-0.0057459306784990805,0.44
PEER,4+,240,75,0.001055109736698468,0.0006074311990508344,0.52,-6.707767045308742e-05,0.52
PEER,4+,1440,75,-0.01976098491575813,-0.003535269282789904,0.36,-0.04393206569869889,0.4533333333333333
