model,frequency_min,center_hours,scale_days,entry_sigma,exit_sigma,hold_hours,valid_return,valid_end_equity,valid_max_drawdown,valid_sharpe_daily,valid_trades,valid_win_rate,valid_profit_factor,valid_net_pnl,valid_gross_price_pnl,valid_funding_cashflow,valid_net_pnl_including_funding,valid_fees,valid_turnover,valid_break_even_bp,valid_median_hold_min,test_return,test_end_equity,test_max_drawdown,test_sharpe_daily,test_trades,test_win_rate,test_profit_factor,test_net_pnl,test_gross_price_pnl,test_funding_cashflow,test_net_pnl_including_funding,test_fees,test_turnover,test_break_even_bp,test_median_hold_min,all_return,all_end_equity,all_max_drawdown,all_sharpe_daily,all_trades,all_win_rate,all_profit_factor,all_net_pnl,all_gross_price_pnl,all_funding_cashflow,all_net_pnl_including_funding,all_fees,all_turnover,all_break_even_bp,all_median_hold_min
B0,15,4,7,2.0,0.5,4,0.018086291315931424,101635.19729773738,-0.017921223697115574,1.9691929282163543,67,0.6119402985074627,1.3581430594891437,1797.649128651247,2066.5596775631543,7.898988397963448,1805.5481170492105,268.91054891190737,1344552.744559537,15.369866938467633,120.0,-0.004698598657115416,101157.65429619857,-0.020079782342521613,-1.4540624604318027,63,0.5396825396825397,0.8746332398743694,-498.1869944176055,-241.0725696638267,20.643992878738434,-477.54300153886703,257.114424753779,1285572.1237688947,-1.8752162185741665,150.0,0.011576542961985625,101157.65429619857,-0.020079782342521613,0.6103155201771537,167,0.5688622754491018,1.0934250917037212,1116.60678689707,1789.8993454233114,41.047509301462455,1157.6542961985324,673.2925585262415,3366462.792631207,5.316854680055254,135.0
B0,15,4,7,2.0,0.5,12,0.018070524185654913,101839.74954226235,-0.017921223697115685,1.9675251107171492,67,0.6119402985074627,1.3577244461260074,1799.717882186708,2069.1703662329737,7.914903013990446,1807.6327852006984,269.45248404626517,1347262.4202313263,15.358332090029611,120.0,-0.00469859865711586,101361.24543182206,-0.020079782342521946,-1.4540624604320438,63,0.5396825396825397,0.8746332398743699,-499.18965167228265,-241.55775527401943,20.685541231981976,-478.5041104403007,257.63189639826305,1288159.4819913155,-1.875216218574153,150.0,0.013612454318220557,101361.24543182206,-0.020079782342521946,0.7034044286672969,167,0.5688622754491018,1.1101932640974326,1319.2130284693067,1993.5609907112928,42.0324033526811,1361.2454318219877,674.3479622419859,3371739.81120993,5.912558804458623,135.0
B0,60,4,7,2.0,0.5,4,0.016617434412311782,102225.71336712144,-0.016999920183644934,2.328957382245813,58,0.6551724137931034,1.4395070426838925,1661.0608747884467,1895.773488964005,9.901111134869579,1670.9619859233162,234.71261417555877,1173563.070877794,16.153997480050364,180.0,-0.006697679779845145,101541.03827372222,-0.01961834668396878,-1.2165581373560923,50,0.58,0.8144157929465655,-702.3885442139494,-497.8251992225281,17.713450814703606,-684.6750933992458,204.56334499142105,1022816.7249571055,-4.86719846357035,180.0,0.015410382737222283,101541.03827372222,-0.01961834668396878,0.8022747652418719,143,0.6013986013986014,1.1568902256570097,1497.8562001829678,2077.484768439691,43.182073539132176,1541.0382737221,579.6285682567232,2898142.8412836147,7.168331176939344,180.0
B0,60,4,7,2.0,0.5,12,0.016408083438641974,102330.45332891759,-0.016580978324330364,2.3061468297923486,58,0.6551724137931034,1.4388039511892863,1641.0514876048449,1876.0149257626624,10.889936212259435,1651.9414238171044,234.96343815781756,1174817.190789088,15.968568901367556,180.0,-0.005421251734890387,101775.69418127608,-0.01873155863015008,-1.1148266703365848,50,0.6,0.8463547365741841,-572.4637306648835,-367.65198003672924,17.704583023431642,-554.7591476414519,204.81175062815427,1024058.7531407713,-3.5901453789555204,180.0,0.017756941812760774,101775.69418127608,-0.01873155863015008,0.9418824980485061,143,0.6083916083916084,1.1833623571490042,1732.5456066825968,2312.723756657727,43.148574593436514,1775.6941812760333,580.1781499751298,2900890.74987565,7.972460723510062,180.0
B0,5,4,7,2.0,0.5,4,0.011328957214361557,101584.45652636683,-0.01675509862320701,1.0381685922379262,79,0.5443037974683544,1.1680068350785036,1129.8397430635298,1448.4326671773774,8.114384939906863,1137.9541280034366,318.5929241138475,1592964.620569238,9.092685728699907,110.0,-0.005310314119385318,101045.01115256478,-0.022075317172524755,-1.227186795781179,70,0.5714285714285714,0.8606449051087852,-558.0622108253284,-272.443930604464,18.616837023309255,-539.4453738020192,285.61828022086473,1428091.4011043233,-1.9077485544257664,137.5,0.010450111525647898,101045.01115256478,-0.022075317172524755,0.48931302605808463,195,0.5692307692307692,1.0744297795236468,1003.499422503978,1792.2200345240615,41.51173006106172,1045.0111525650398,788.7206120200838,3943603.0601004185,4.544625833814078,125.0
B0,5,4,7,2.0,0.5,12,0.011328957214361557,101584.45652636683,-0.01675509862320701,1.0381685922379262,79,0.5443037974683544,1.1680068350785036,1129.8397430635298,1448.4326671773774,8.114384939906863,1137.9541280034366,318.5929241138475,1592964.620569238,9.092685728699907,110.0,-0.005310314119385318,101045.01115256478,-0.022075317172524755,-1.227186795781179,70,0.5714285714285714,0.8606449051087852,-558.0622108253284,-272.443930604464,18.616837023309255,-539.4453738020192,285.61828022086473,1428091.4011043233,-1.9077485544257664,137.5,0.010450111525647898,101045.01115256478,-0.022075317172524755,0.48931302605808463,195,0.5692307692307692,1.0744297795236468,1003.499422503978,1792.2200345240615,41.51173006106172,1045.0111525650398,788.7206120200838,3943603.0601004185,4.544625833814078,125.0
B0,60,4,7,2.0,0.5,1,0.008943528972177761,100542.84850802935,-0.017538619639765884,1.3036170894928705,60,0.5666666666666667,1.1997930131989711,881.5944811268215,1121.7270067599484,9.642592857722768,891.2370739845443,240.1325256331274,1200662.6281656371,9.342566183422516,120.0,-0.007892159781001107,99749.348282767,-0.018568452698074833,-1.5549868373577491,53,0.4528301886792453,0.7697607032669443,-807.3930116972645,-594.1669498180996,13.89278643495831,-793.5002252623061,213.22606187916497,1066130.3093958248,-5.5731175127627095,120.0,-0.0025065171723300805,99749.348282767,-0.018568452698074833,-0.1259628718718557,148,0.5135135135135135,0.9716671826733358,-288.89842367312514,304.4168178971936,38.24670644015497,-250.65171723297016,593.315241570319,2966576.2078515943,1.0261553945302264,120.0
B0,15,4,7,2.0,0.5,1,0.004270152686474793,100039.2078755431,-0.02024029594609078,0.4338426640759494,74,0.5540540540540541,1.097799741074542,423.5141235112409,719.804437162132,1.8521896463987448,425.36631315763964,296.29031365089105,1481451.568254455,4.858778056512867,75.0,-0.01381661163596315,98657.00499195734,-0.024027058758892883,-2.7949070436541326,71,0.5211267605633803,0.680346737781486,-1392.5287681382124,-1108.5722902109533,10.325884552480487,-1382.202883585732,283.95647792725913,1419782.389636296,-7.808043671361038,75.0,-0.01342995008042669,98657.00499195734,-0.02565658603163201,-0.717708334468091,188,0.526595744680851,0.8804984683976567,-1362.8935768136373,-611.692637777611,19.898568770940674,-1342.9950080426966,751.200939036026,3756004.6951801307,-1.628572612176342,75.0
PEER,60,4,7,2.0,0.5,4,0.003272942499348952,101330.34819725362,-0.006388740789288416,1.2444665909433654,78,0.6794871794871795,1.1246227463978278,327.10803295573646,620.6568943712203,3.4584450581953825,330.5664780139318,293.54886141548354,1578740.6458663295,3.9313417057849716,180.0,-0.00042374083812024566,101287.4103905815,-0.009372261229436463,0.1449004547238949,56,0.5535714285714286,0.975843415593715,-46.095696699109766,161.9007754052127,3.157890026935317,-42.937806672174446,207.99647210432244,1135768.463017032,1.4254734188968656,240.0,0.012874103905814893,101287.4103905815,-0.009372261229436463,1.6374015368236097,186,0.6720430107526881,1.2544673202458334,1264.48167622308,1964.0689644787042,22.92871435844559,1287.4103905815257,699.587288255624,3758577.517627812,5.225564605937159,180.0
PCA3,60,4,7,2.0,0.5,1,0.0029908837445637992,100119.14139949376,-0.007713644236649553,0.8381359333898072,75,0.64,1.1309132536772057,296.0192643692816,572.7883541986258,2.532514499924006,298.5517788692056,276.76908982934395,1500914.9881510641,3.816261138841901,120.0,-0.006093506405581706,99509.06477005461,-0.010318621074425494,-1.7915787577164273,68,0.5,0.7111849140667129,-609.2757095756593,-351.0029745507001,-0.800919863448525,-610.0766294391078,258.2727350249593,1362264.6765887532,-2.576613638912275,120.0,-0.004909352299453884,99509.06477005461,-0.010318621074425494,-0.5913559928316436,179,0.547486033519553,0.900637538932091,-494.3270120052958,175.91422262090492,3.3917820600637243,-490.93522994523204,670.2412346262004,3581899.121560982,0.49111998035344445,120.0
