selection_rank,model,frequency_min,center_hours,scale_days,entry_sigma,exit_sigma,hold_hours,cost_bp,period,return,end_equity,max_drawdown,sharpe_daily,trades,win_rate,profit_factor,net_pnl,gross_price_pnl,funding_cashflow,net_pnl_including_funding,fees,turnover,break_even_bp,median_hold_min
1,B0,15,4,7,2.0,0.5,4,0.0,validation,0.02082418204305747,102059.4686678911,-0.017466439878869977,2.284247633305579,67,0.6417910447761194,1.420437664029752,2074.026457947149,2074.026457947149,7.923590007611865,2081.950047954761,0.0,1348310.0404378383,15.3824149916858,120.0
1,B0,15,4,7,2.0,0.5,4,0.0,holdout,-0.002185158454693692,101836.45255704991,-0.019370107552136306,-1.0554932339340113,63,0.5714285714285714,0.9372428789631233,-243.76890887855302,-243.76890887855302,20.752798037386356,-223.01611084116666,0.0,1292522.4841932077,-1.885993565757686,150.0
1,B0,15,4,7,2.0,0.5,4,1.0,validation,0.01945434136485069,101847.11596407897,-0.017693855072900555,2.126614985052548,67,0.6417910447761194,1.3890834741890081,1935.6466426032243,2070.289644197205,7.911279116014237,1943.5579217192385,134.6430015939806,1346430.0159398061,15.37614001238784,120.0
1,B0,15,4,7,2.0,0.5,4,1.0,holdout,-0.003442648964767425,101496.49209574069,-0.019725000630593126,-1.2572148922179667,63,0.5714285714285714,0.9054858505689739,-371.32219224247297,-242.41793248288985,20.698323904097318,-350.62386833837564,128.9042597595834,1289042.5975958342,-1.880604511712944,150.0
1,B0,15,4,7,2.0,0.5,4,2.0,validation,0.018086291315931424,101635.19729773738,-0.017921223697115574,1.9691929282163543,67,0.6119402985074627,1.3581430594891437,1797.649128651247,2066.5596775631543,7.898988397963448,1805.5481170492105,268.91054891190737,1344552.744559537,15.369866938467633,120.0
1,B0,15,4,7,2.0,0.5,4,2.0,holdout,-0.004698598657115416,101157.65429619857,-0.020079782342521613,-1.4540624604318027,63,0.5396825396825397,0.8746332398743694,-498.1869944176055,-241.0725696638267,20.643992878738434,-477.54300153886703,257.114424753779,1285572.1237688947,-1.8752162185741665,150.0
1,B0,15,4,7,2.0,0.5,4,3.0,validation,0.016720029616740684,101423.7117974854,-0.01814854575986713,1.8120791186632148,67,0.6119402985074627,1.3277480741617786,1660.033078875209,2062.8365455068338,7.8867178193810785,1667.91979669459,402.80346663162453,1342678.2221054153,15.36359577108623,120.0
1,B0,15,4,7,2.0,0.5,4,3.0,holdout,-0.005953009366822859,100819.93549113703,-0.02043445271793154,-1.646065126976284,63,0.5396825396825397,0.8447527149273142,-624.366110933269,-239.7327997911755,20.589804584965012,-603.776306348304,384.6333111420936,1282111.0371403121,-1.8698286875830046,150.0
2,PEER,15,4,7,2.0,0.5,4,0.0,validation,-0.010171237711898873,100036.47260421906,-0.017121605760556546,-2.9597305008152945,82,0.6097560975609756,0.6833787428455742,-1036.6633196144976,-1036.6633196144976,8.713050352398874,-1027.9502692620988,0.0,1651111.6402554405,-6.278577985520818,135.0
2,PEER,15,4,7,2.0,0.5,4,0.0,holdout,-0.009344608091353512,99101.67097289121,-0.017242800858620955,-1.7737157545262257,66,0.5303030303030303,0.60713612090016,-942.6753096861887,-942.6753096861887,7.873678358322583,-934.8016313278662,0.0,1319771.339665117,-7.142716934021208,172.5
2,PEER,15,4,7,2.0,0.5,4,1.0,validation,-0.011757947586767514,99740.93431856393,-0.01822621017769155,-3.345140772245106,82,0.5853658536585366,0.641271737022853,-1195.3958322815113,-1034.5446909829302,8.693976082148174,-1186.7018561993632,160.8511412985807,1647574.6170565123,-6.279197799436874,135.0
2,PEER,15,4,7,2.0,0.5,4,1.0,holdout,-0.01061918727961153,98681.76665759167,-0.017619637639978758,-2.0269563928123033,66,0.5303030303030303,0.5646328777106896,-1067.0133265112354,-938.9512737337828,7.845665538998576,-1059.1676609722367,128.06205277745266,1315038.5695257073,-7.140104446308619,172.5
2,PEER,15,4,7,2.0,0.5,4,2.0,validation,-0.013342154261275496,99446.26120832415,-0.019329601893568915,-3.7170927117160604,82,0.5853658536585366,0.60100021244125,-1353.444423967705,-1032.4304021432295,8.674944376624644,-1344.7694795910804,321.014021824476,1644045.424565832,-6.279816766108389,135.0
2,PEER,15,4,7,2.0,0.5,4,2.0,holdout,-0.011892163121045685,98263.63004825664,-0.018102869422444767,-2.2761996376388014,66,0.5,0.5245018716761377,-1190.4489123542282,-935.2418738567716,7.817752286745369,-1182.6311600674828,255.20703849745652,1310322.821537675,-7.137492062904446,172.5
2,PEER,15,4,7,2.0,0.5,4,3.0,validation,-0.014923861621298107,99152.45076386395,-0.02043178220840869,-4.075688281205218,82,0.573170731707317,0.5624926456293987,-1510.8113692856323,-1030.320444190942,8.655955138871523,-1502.1554141467607,480.4909250946904,1640524.0449425739,-6.280434885226008,135.0
2,PEER,15,4,7,2.0,0.5,4,3.0,holdout,-0.013163537587091323,97847.2537513816,-0.01858797609866103,-2.521317633212917,66,0.4696969696969697,0.4872461420725154,-1312.9869507302885,-931.5470529136013,7.78993824804661,-1305.197012482242,381.4398978166874,1305624.0343074852,-7.134879784958173,172.5
3,PCA3,15,4,7,2.0,0.5,4,0.0,validation,-0.007934738374136163,99534.30695965776,-0.012933693313430417,-2.74253944775146,80,0.6,0.7191086039686188,-803.3230001803914,-803.3230001803914,7.227505735250362,-796.0954944451411,0.0,1601163.9703588458,-5.017118890080659,135.0
3,PCA3,15,4,7,2.0,0.5,4,0.0,holdout,-0.0035798957053798652,99177.98452163492,-0.012742037672994866,-1.0504054698977061,70,0.6285714285714286,0.8175269600424883,-361.14907591984877,-361.14907591984877,4.826637896983471,-356.3224380228653,0.0,1399632.4009639884,-2.5803137714667757,157.5
3,PCA3,15,4,7,2.0,0.5,4,1.0,validation,-0.00948179701515428,99307.76493629623,-0.014015303980768223,-3.1921037729919655,80,0.5875,0.6719317804295651,-957.8469721916155,-802.0226182263652,7.217224734869571,-950.6297474567459,155.8243539652502,1598791.5811885153,-5.016430081713057,135.0
