id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
1,B0,15,XRPUSDT,2026-03-04 15:29:00+00:00,2026-03-04 15:31:00+00:00,2026-03-04 17:31:00+00:00,10000.0,9973.724242843315,9949.52288756742,24.201355275894322,3.984649426082147,0.4830861291660905,20.216705849812175,20.699791978978265,120.0,2.009747425236957,mean
2,B0,15,AVAXUSDT,2026-03-04 15:59:00+00:00,2026-03-04 16:01:00+00:00,2026-03-04 17:31:00+00:00,9986.040326372564,10008.658764257892,9807.149044915875,201.50971934201792,3.9631615618347533,0.0,197.54655778018315,197.54655778018315,90.0,2.4634927695841595,mean
3,B0,15,DOGEUSDT,2026-03-04 15:59:00+00:00,2026-03-04 16:01:00+00:00,2026-03-04 17:46:00+00:00,9986.040326372564,10008.233768859704,10365.346434334588,-357.11266547488384,4.074716040638858,0.0,-361.1873815155227,-361.1873815155227,105.0,2.293570832568992,stop
4,B0,15,BCHUSDT,2026-03-13 00:44:00+00:00,2026-03-13 00:46:00+00:00,2026-03-13 02:31:00+00:00,9985.705896824365,9986.349513060062,9921.129734509528,65.21977855053449,3.981495849513918,0.0,61.238282701020566,61.238282701020566,105.0,2.406207150143025,mean
5,B0,15,ADAUSDT,2026-03-16 05:59:00+00:00,2026-03-16 06:01:00+00:00,2026-03-16 08:31:00+00:00,9991.829725094469,9991.82972509447,9939.843098012812,51.98662708165702,3.986334564621457,1.0046206350711828,48.00029251703556,49.004913152106745,150.0,2.003173438198815,mean
6,B0,15,BCHUSDT,2026-03-29 14:29:00+00:00,2026-03-29 14:31:00+00:00,2026-03-29 17:31:00+00:00,9996.730216409678,9986.19262835753,9669.849933975715,-316.342694381815,3.9312085124666494,0.1372593635404414,-320.27390289428166,-320.1366435307412,180.0,-2.362139256633358,stop
7,B0,15,LTCUSDT,2026-04-02 02:44:00+00:00,2026-04-02 02:46:00+00:00,2026-04-02 06:01:00+00:00,9964.716552056605,9979.912459875219,9917.229340123435,-62.68311975178541,3.979428359999731,0.0,-66.66254811178514,-66.66254811178514,195.0,-2.178687027976948,mean
8,B0,15,UNIUSDT,2026-04-02 04:29:00+00:00,2026-04-02 04:31:00+00:00,2026-04-02 06:46:00+00:00,9961.667721091417,9955.630346714997,10064.303085490541,108.67273877554283,4.003986686441108,0.0,104.66875208910172,104.66875208910172,135.0,-2.306917842344204,mean
9,B0,15,UNIUSDT,2026-04-02 13:59:00+00:00,2026-04-02 14:01:00+00:00,2026-04-02 16:16:00+00:00,9968.517172454334,9946.237600229819,10130.839770090084,184.6021698602649,4.01541547406398,3.0563770605614775,180.58675438620094,183.64313144676242,135.0,-2.363363678107672,mean
11,B0,15,BTCUSDT,2026-04-06 00:14:00+00:00,2026-04-06 00:16:00+00:00,2026-04-06 01:46:00+00:00,9986.881485599013,10001.67308149461,9932.3762585769,69.29682291770874,3.986809868014302,0.0,65.31001304969445,65.31001304969445,90.0,2.0010270926129294,mean
