rank,strategy,period,days,return,block_days,bootstrap_ci_2_5,bootstrap_ci_97_5
1,v3_selected_1_B0_15m_2bp,holdout,62,-0.018629129262693445,4,-0.13854649957025925,0.07845993725411671
2,v3_selected_2_PEER_15m_2bp,holdout,62,-0.037663178956033105,4,-0.06564833874252561,-0.009064811711356709
3,v3_selected_3_MEDIAN_15m_2bp,holdout,62,-0.03346144083518898,4,-0.06370921676617028,-0.0015215389904110817
4,v3_selected_4_RIDGE_15m_2bp,holdout,62,-0.025699975129370944,4,-0.04787981892140804,0.0024053710230101427
5,v3_selected_5_PCA3_15m_2bp,holdout,62,-0.03220696966317038,4,-0.053832366176856696,-0.009319649087192837
6,v3_selected_6_B0_15m_2bp,holdout,62,-0.037508754537903144,4,-0.1420591060136218,0.052838453798726856
7,v3_selected_7_AR1_15m_2bp,holdout,62,-0.0594475472658077,4,-0.13362314591418198,0.02195778979416313
8,v3_selected_8_AR1_60m_2bp,holdout,62,-0.04182676844627853,4,-0.10304978469145752,0.025531599961862838
9,v3_selected_9_B0_60m_2bp,holdout,62,-0.03093203465107497,4,-0.13233021434892173,0.0601063560389172
10,v3_selected_10_B0_60m_2bp,holdout,62,-0.007107790578371742,4,-0.11281828371482125,0.08488472116218568
