model,frequency_min,center_hours,scale_days,center_kind,logic,entry_sigma,exit_sigma,hold_hours,exit_rule,stage,cost_bp,train_return,train_start_equity,train_end_equity,train_max_drawdown,train_sharpe_daily,train_trades,train_win_rate,train_profit_factor,train_net_pnl,train_gross_price_pnl,train_funding_cashflow,train_net_pnl_including_funding,train_fees,train_turnover,train_break_even_bp,train_median_hold_min,valid_return,valid_start_equity,valid_end_equity,valid_max_drawdown,valid_sharpe_daily,valid_trades,valid_win_rate,valid_profit_factor,valid_net_pnl,valid_gross_price_pnl,valid_funding_cashflow,valid_net_pnl_including_funding,valid_fees,valid_turnover,valid_break_even_bp,valid_median_hold_min,holdout_return,holdout_start_equity,holdout_end_equity,holdout_max_drawdown,holdout_sharpe_daily,holdout_trades,holdout_win_rate,holdout_profit_factor,holdout_net_pnl,holdout_gross_price_pnl,holdout_funding_cashflow,holdout_net_pnl_including_funding,holdout_fees,holdout_turnover,holdout_break_even_bp,holdout_median_hold_min,all_return,all_start_equity,all_end_equity,all_max_drawdown,all_sharpe_daily,all_trades,all_win_rate,all_profit_factor,all_net_pnl,all_gross_price_pnl,all_funding_cashflow,all_net_pnl_including_funding,all_fees,all_turnover,all_break_even_bp,all_median_hold_min,funding_cash,all_gross_fees,all_net_fees_reference,run_index
B0,5,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,0.01627314341565489,100000.0,101627.31434156549,-0.04037790902569405,1.0822939780243133,715,0.6503496503496503,1.053267522994077,1587.2831348106556,4470.598220379079,40.031206754873345,1627.314341565529,2883.3150855684225,14416575.427842114,3.1010126106267957,120.0,-0.057340424552991154,101627.31434156549,95799.96099103984,-0.12010614901255257,-2.080901367659682,927,0.6094929881337648,0.8976676093462388,-5874.680015574303,-2314.9153690857365,47.32666504882354,-5827.35335052548,3559.7646464885665,17798823.232442833,-1.3006002356752557,110.0,-0.026405664214028013,95799.96099103984,93270.29938939346,-0.11225600623192034,-1.0545768878002315,1011,0.6350148367952523,0.9417674679258837,-2632.6761190203833,1309.0213796548596,103.01451737401668,-2529.6616016463668,3941.697498675243,19708487.493376218,0.6641916991828042,115.0,-0.06729700610606537,100000.0,93270.29938939346,-0.12871602512093794,-0.9556414526634763,2653,0.6302299283829627,0.9477398507873327,-6920.072999784033,3464.704230948202,190.37238917771353,-6729.700610606319,10384.777230732232,51923886.15366116,0.6672659709434914,115.0,190.37238917771353,10384.777230732252,10384.777230732252,1
B0,15,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,0.021868159338024995,100000.0,102186.8159338025,-0.0343973245511936,1.494315030891681,548,0.6167883211678832,1.087529550804994,2120.558622866075,4342.630480001588,66.25731093650698,2186.815933802582,2222.071857135513,11110359.285677563,3.908631906800441,150.0,-0.03316710986056004,102186.8159338025,98797.57458342524,-0.07931246581487372,-1.4037616133627124,748,0.6216577540106952,0.92893209700355,-3427.501783857633,-465.2846357497792,38.26043348029258,-3389.2413503773405,2962.2171481078544,14811085.740539273,-0.3141462036616623,135.0,-0.018629129262693445,98797.57458342524,96957.06179567002,-0.08387490785614493,-0.8098620246231436,795,0.6138364779874214,0.9496540904691041,-1952.4754234626662,1256.891050534905,111.96263570749875,-1840.5127877551674,3209.3664739975707,16046832.369987853,0.7832642739420954,135.0,-0.030429382043299813,100000.0,96957.06179567002,-0.08387490785614493,-0.4549609572817645,2091,0.6174079387852702,0.9706983088148339,-3259.4185844542226,5134.236894786713,216.48038012429834,-3042.9382043299242,8393.655479240937,41968277.39620468,1.2233613608479956,135.0,216.48038012429834,8393.655479240948,8393.655479240948,2
B0,60,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,0.014596043690390248,100000.0,101459.60436903902,-0.027242016255207502,1.0432384296501398,312,0.6025641025641025,1.0841706977740688,1366.8617340388323,2626.410218984871,92.7426349999593,1459.6043690387917,1259.5484849460383,6297742.424730192,4.170399552498992,180.0,0.024893998647626647,101459.60436903902,103985.33962299062,-0.02737623577547521,1.5059466133710444,459,0.6296296296296297,1.0782548440081414,2497.973170581611,4369.797528354139,27.762083370128888,2525.73525395174,1871.8243577725284,9359121.788862642,4.669025178787821,180.0,-0.007100895220821246,103985.33962299062,103246.95062182625,-0.04445013587063529,-0.35505736497908763,470,0.6,0.9652570430408773,-840.3113907949266,1122.2498264333317,101.92238963045222,-738.3890011644744,1962.561217228258,9812806.086141292,1.143658415932925,180.0,0.0324695062182625,100000.0,103246.95062182625,-0.04445013587063529,0.7025831557250009,1241,0.6116035455278002,1.0418059681933205,3024.5235138255166,8118.457573772343,222.42710800054027,3246.9506218260567,5093.934059946825,25469670.299734123,3.1875000650703718,180.0,222.42710800054027,5093.934059946828,5093.934059946828,3
PEER,5,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.023757809372680794,100000.0,97624.21906273192,-0.032137119724376495,-3.8682425678194345,1057,0.6234626300851467,0.8282710180258758,-2395.2753045034324,1765.3836859623095,19.494367235252398,-2375.78093726818,4160.658990465741,20803294.952328708,0.8486077277699192,110.0,-0.06637241829823981,97624.21906273192,91144.66355906129,-0.0677733006154786,-5.643040398242418,1235,0.6137651821862348,0.7295035249015863,-6498.011530183595,-1822.9275033746437,18.456026513397703,-6479.555503670197,4675.084026808951,23375420.13404476,-0.7798480168147524,115.0,-0.027973528051300378,91144.66355906129,88595.02575626555,-0.04468649486966425,-3.6067249056963866,1188,0.6069023569023569,0.8545638702783822,-2578.9417420872105,1713.7881298384536,29.303939291400212,-2549.6378027958103,4292.729871925664,21463649.35962832,0.7984607375584386,120.0,-0.11404974243734456,100000.0,88595.02575626555,-0.12170259809833306,-4.425195063182038,3480,0.614367816091954,0.7940464982275194,-11472.228576774236,1656.2443124261194,67.25433304005034,-11404.974243734187,13128.472889200357,65642364.44600179,0.25231332332469014,115.0,67.25433304005034,13128.472889200364,12606.774522351188,4
PEER,15,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.008069665325917352,100000.0,99193.03346740827,-0.01829658136322121,-1.5282841497414659,836,0.6088516746411483,0.9264107704260224,-840.319676158022,2494.3489644339606,33.353143566138385,-806.9665325918836,3334.6686405919827,16673343.202959914,1.4960100887212315,135.0,-0.05104670058584093,99193.03346740827,94129.55638779618,-0.0522598194121503,-4.470808413607074,986,0.592292089249493,0.7659705332359749,-5071.736912405928,-1252.41962237881,8.25983279364845,-5063.477079612279,3819.3172900271184,19096586.450135596,-0.6558342904105342,135.0,-0.037663178956033216,94129.55638779618,90584.33806051059,-0.042107463129075984,-5.5936857826602315,973,0.5837615621788284,0.7836532735960885,-3570.489616139952,36.262395689951404,25.271288854149528,-3545.2183272858024,3606.7520118299026,18033760.05914952,0.020108061530714164,135.0,-0.09415661939489406,100000.0,90584.33806051059,-0.10338777386088249,-3.9110816563601474,2795,0.5942754919499106,0.8087963920328302,-9482.546204703902,1278.1917377451027,66.88426521393636,-9415.661939489966,10760.737942449005,53803689.71224502,0.23756581464601728,135.0,66.88426521393636,10760.737942449006,9892.516911337916,5
PEER,60,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.019174894818884902,100000.0,98082.5105181115,-0.024025058241238018,-4.037379068151677,467,0.5546038543897216,0.7740773169616464,-1966.8100950407013,-119.60545840487606,49.320613152123585,-1917.4894818885778,1847.204636635825,9236023.183179125,-0.1294988720066278,180.0,-0.004746899950962669,98082.5105181115,97616.92265374279,-0.028118541876613445,-0.5177103875551167,586,0.5972696245733788,0.9640666991511886,-490.7730337277277,1809.3226540400137,25.185169359107235,-465.58786436862044,2300.0956877677418,11500478.43883871,1.5732585941204675,180.0,-0.031508314753364686,97616.92265374279,94541.17792951381,-0.03805152850034166,-5.726862214481411,564,0.5336879432624113,0.7410530750605134,-3096.476268080155,-927.4184349731045,20.731543851535996,-3075.744724228619,2169.057833107051,10845289.165535256,-0.8551348155107792,180.0,-0.05458822070486191,100000.0,94541.17792951381,-0.061500697990698794,-2.819140406511843,1617,0.5627705627705628,0.8381756189076135,-5554.059396848585,762.2987606620334,95.2373263627668,-5458.822070485818,6316.358157510618,31581790.787553087,0.24137287394179943,180.0,95.2373263627668,6316.358157510611,5308.982115385029,6
MEDIAN,5,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.011576203786554662,100000.0,98842.37962134453,-0.025248375514450694,-1.9740723596039096,1064,0.6409774436090225,0.9114382417226278,-1177.8072105062843,3042.1824489726923,20.186831850868952,-1157.6203786554154,4219.989659478975,21099948.29739488,1.4417961627651465,110.0,-0.07602706021315475,98842.37962134453,91327.68407426107,-0.07738797459595981,-6.567140163713075,1232,0.6006493506493507,0.6987080831775598,-7519.203022261503,-2830.2586947465434,4.507475178554934,-7514.695547082948,4688.94432751496,23444721.6375748,-1.20720507519718,120.0,-0.03947008172110744,91327.68407426107,87722.9729204505,-0.04875440156154043,-6.077426888047285,1209,0.5905707196029777,0.7972570975583692,-3637.272262222816,734.9879412617443,32.56110841240568,-3604.7111538104105,4372.26020348456,21861301.0174228,0.3362050322055311,120.0,-0.12277027079549496,100000.0,87722.9729204505,-0.12796870183857334,-5.009825085096908,3505,0.6094151212553495,0.7805136728644406,-12334.282494990603,946.9116954878929,57.2554154418296,-12277.027079548772,13281.194190478494,66405970.95239248,0.14259436040273385,115.0,57.2554154418296,13281.194190478507,12819.443268640443,7
MEDIAN,15,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.01798764000901587,100000.0,98201.23599909841,-0.02093865696299635,-3.2008413192530076,817,0.5973072215422277,0.8434787650343941,-1830.0371559485247,1403.175339340573,31.273155046713214,-1798.7640009018114,3233.2124952890968,16166062.476445485,0.8679759473805375,135.0,-0.05268355421591031,98201.23599909841,93027.64585827051,-0.05651287516263748,-4.4207556828594585,1013,0.6031589338598223,0.7576514557578773,-5196.108541351996,-1315.8185725453654,22.51840052399077,-5173.590140828005,3880.289968806631,19401449.84403316,-0.6782063109319845,135.0,-0.03346144083518876,93027.64585827051,89914.8067903471,-0.039982774692086775,-4.612070241524783,963,0.5825545171339563,0.8088526402071871,-3135.5837307532265,392.87737146838003,22.74466283000481,-3112.8390679232216,3528.4611022216072,17642305.511108033,0.2226904931563591,150.0,-0.1008519320965291,100000.0,89914.8067903471,-0.10551350990082153,-3.996185816775469,2793,0.594343000358038,0.7948642012121996,-10161.729428053748,480.2341382635881,76.53621840070885,-10085.19320965304,10641.963566317336,53209817.831586674,0.09025291907286123,135.0,76.53621840070885,10641.963566317343,9803.843069730878,8
MEDIAN,60,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.022329559616600547,100000.0,97767.04403833994,-0.029333431134096477,-4.88201738613706,473,0.5708245243128964,0.7426444633880497,-2282.837132978322,-419.13715330950964,49.88117131822799,-2232.955961660094,1863.6999796688128,9318499.898344062,-0.4497903717142199,180.0,-0.007254163516057344,97767.04403833994,97057.82591440424,-0.0264831639943931,-1.0209657027333072,593,0.5935919055649241,0.9449445342978516,-730.5375527508573,1583.8534816371348,21.319428815012543,-709.2181239358448,2314.3910343879916,11571955.171939958,1.3686999803436093,180.0,-0.02045851530107845,97057.82591440424,95072.16689784499,-0.02658037898205179,-3.8207891415933117,577,0.5459272097053726,0.8199496311238036,-2011.086616739768,207.04499636607238,25.427600180566284,-1985.6590165592017,2218.1316131058406,11090658.065529205,0.18668414005981077,240.0,-0.049278331021550104,100000.0,95072.16689784499,-0.05515866741031772,-2.922118960841013,1643,0.5702982349360926,0.8491563200091402,-5024.461302468948,1371.7613246936983,96.62820031380679,-4927.833102155141,6396.222627162645,31981113.13581323,0.4289285738330248,180.0,96.62820031380679,6396.2226271626405,5484.578847785829,9
RIDGE,5,4,7,sma,band,2.0,0.5,4,band,formula_frequency,2.0,-0.008386549761723594,100000.0,99161.34502382764,-0.01275127872312376,-1.896604931053571,602,0.6262458471760798,0.8596952132561579,-849.1886169636557,1544.7079841020584,10.533640791404075,-838.6549761722516,2393.896601065714,11969483.00532857,1.2905386000501324,105.0,-0.058244609486899024,99161.34502382764,93385.73120671914,-0.05852177234820988,-6.920580994379258,1246,0.579454253611557,0.7189756088749868,-5776.832317799881,-985.6598580915289,1.2185006914996912,-5775.613817108381,4791.172459708352,23955862.298541762,-0.4114482901129081,120.0,-0.02690652530222748,93385.73120671914,90873.04566713853,-0.04069790074504642,-4.035029849598123,1254,0.6036682615629984,0.8443659725080485,-2541.8303163444125,2076.9371539608555,29.14477676358098,-2512.6855395808316,4618.767470305268,23093837.351526342,0.8993469220149264,120.0,-0.0912695433286147,100000.0,90873.04566713853,-0.10364608902683148,-4.623428095315763,3102,0.5983236621534493,0.78650068536029,-9167.85125110795,2635.9852799713854,40.896918246484745,-9126.954332861465,11803.836531079334,59019182.65539667,0.4466319527605916,115.0,40.896918246484745,11803.83653107935,11516.116804379806,10
