rank,strategy,period,target,trades,net_pnl_including_funding,win_rate
1,v3_selected_1_B0_15m_2bp,valid,AAVEUSDT,44,-356.1122854872517,0.5681818181818182
1,v3_selected_1_B0_15m_2bp,valid,ADAUSDT,23,-458.08460503611974,0.6086956521739131
1,v3_selected_1_B0_15m_2bp,valid,AVAXUSDT,30,473.7863378085592,0.6666666666666666
1,v3_selected_1_B0_15m_2bp,valid,BCHUSDT,44,-1784.365441296824,0.5909090909090909
1,v3_selected_1_B0_15m_2bp,valid,BNBUSDT,37,312.8262818277699,0.6756756756756757
1,v3_selected_1_B0_15m_2bp,valid,BTCUSDT,45,68.97272641475706,0.6
1,v3_selected_1_B0_15m_2bp,valid,DOGEUSDT,26,-132.30348669155433,0.6153846153846154
1,v3_selected_1_B0_15m_2bp,valid,DOTUSDT,23,-16.21951345050455,0.5217391304347826
1,v3_selected_1_B0_15m_2bp,valid,ETHUSDT,31,508.0407120893616,0.6451612903225806
1,v3_selected_1_B0_15m_2bp,valid,FILUSDT,44,1109.5396902405291,0.7045454545454546
1,v3_selected_1_B0_15m_2bp,valid,HBARUSDT,34,209.56468012220876,0.5882352941176471
1,v3_selected_1_B0_15m_2bp,valid,LINKUSDT,19,740.9474312660518,0.7368421052631579
1,v3_selected_1_B0_15m_2bp,valid,LTCUSDT,32,652.2763048298674,0.6875
1,v3_selected_1_B0_15m_2bp,valid,NEARUSDT,65,129.1192984016271,0.6307692307692307
1,v3_selected_1_B0_15m_2bp,valid,SOLUSDT,41,1000.6857671446021,0.6829268292682927
1,v3_selected_1_B0_15m_2bp,valid,SUIUSDT,41,-1369.602614027553,0.5853658536585366
1,v3_selected_1_B0_15m_2bp,valid,TRXUSDT,52,-467.56407815814094,0.5961538461538461
1,v3_selected_1_B0_15m_2bp,valid,UNIUSDT,40,-1178.024434936709,0.525
1,v3_selected_1_B0_15m_2bp,valid,XLMUSDT,51,-2868.3312749889237,0.5490196078431373
1,v3_selected_1_B0_15m_2bp,valid,XRPUSDT,26,35.60715355090479,0.6923076923076923
1,v3_selected_1_B0_15m_2bp,holdout,AAVEUSDT,54,-1203.1808607655237,0.5925925925925926
1,v3_selected_1_B0_15m_2bp,holdout,ADAUSDT,44,-1414.1963168456332,0.5909090909090909
1,v3_selected_1_B0_15m_2bp,holdout,AVAXUSDT,28,122.26718523108663,0.7142857142857143
1,v3_selected_1_B0_15m_2bp,holdout,BCHUSDT,45,-600.832236757046,0.5777777777777777
1,v3_selected_1_B0_15m_2bp,holdout,BNBUSDT,30,20.853635374999826,0.6
1,v3_selected_1_B0_15m_2bp,holdout,BTCUSDT,30,215.29745954573406,0.5666666666666667
1,v3_selected_1_B0_15m_2bp,holdout,DOGEUSDT,22,-646.961918250816,0.5454545454545454
1,v3_selected_1_B0_15m_2bp,holdout,DOTUSDT,42,-130.68890550591072,0.6666666666666666
1,v3_selected_1_B0_15m_2bp,holdout,ETHUSDT,28,-252.78598799672324,0.5357142857142857
1,v3_selected_1_B0_15m_2bp,holdout,FILUSDT,38,1031.150462458083,0.7105263157894737
1,v3_selected_1_B0_15m_2bp,holdout,HBARUSDT,55,1287.006438096889,0.6181818181818182
1,v3_selected_1_B0_15m_2bp,holdout,LINKUSDT,25,-860.2738620519162,0.56
1,v3_selected_1_B0_15m_2bp,holdout,LTCUSDT,51,778.5260939164889,0.7254901960784313
1,v3_selected_1_B0_15m_2bp,holdout,NEARUSDT,46,-573.5940340349342,0.5434782608695652
1,v3_selected_1_B0_15m_2bp,holdout,SOLUSDT,27,278.7157470114627,0.5185185185185185
1,v3_selected_1_B0_15m_2bp,holdout,SUIUSDT,26,-335.4059942967359,0.6538461538461539
1,v3_selected_1_B0_15m_2bp,holdout,TRXUSDT,61,-119.2202128326484,0.5573770491803278
1,v3_selected_1_B0_15m_2bp,holdout,UNIUSDT,70,236.39658796404453,0.6857142857142857
1,v3_selected_1_B0_15m_2bp,holdout,XLMUSDT,35,868.3543684483711,0.6285714285714286
1,v3_selected_1_B0_15m_2bp,holdout,XRPUSDT,38,-541.9404364644383,0.6052631578947368
2,v3_selected_2_PEER_15m_2bp,valid,AAVEUSDT,62,-264.34135411879157,0.6612903225806451
2,v3_selected_2_PEER_15m_2bp,valid,ADAUSDT,43,-591.9589346965943,0.5581395348837209
2,v3_selected_2_PEER_15m_2bp,valid,AVAXUSDT,51,626.9280729907075,0.7647058823529411
2,v3_selected_2_PEER_15m_2bp,valid,BCHUSDT,39,-720.6716301046758,0.5641025641025641
2,v3_selected_2_PEER_15m_2bp,valid,BNBUSDT,36,-281.7067387258433,0.5277777777777778
2,v3_selected_2_PEER_15m_2bp,valid,BTCUSDT,35,22.883913551523918,0.5428571428571428
2,v3_selected_2_PEER_15m_2bp,valid,DOGEUSDT,46,101.10442983337963,0.5652173913043478
2,v3_selected_2_PEER_15m_2bp,valid,DOTUSDT,57,-110.54663079145068,0.6491228070175439
2,v3_selected_2_PEER_15m_2bp,valid,ETHUSDT,34,-289.3639929053516,0.35294117647058826
